playerID,MVP,Gold_Glove,Cy_Young_Award,All_Star_Game,Batting_Seasons_Number,Batting_LastSeason,Batting_Games,Batting_At_Bats,Batting_Runs,Batting_Hits,Batting_Doubles,Batting_Triples,Batting_Homeruns,Batting_Runs_Batted_In,Batting_Stolen_Bases,Batting_Caught_Steading,Batting_Base_on_Balls,Batting_Intentional_walks,Batting_Hit_by_pitch,Batting_Sacrifice_hits,Batting_Grounded_into_double_plays,Pitching_Wins,Pitching_Games,Pitching_Shutouts,Pitching_Saves,Pitching_Outs_Pitched,Pitching_Earned_Runs,Pitching_Strikeouts,Pitching_ERA,Pitching_HBP,Pitching_BK,Pitching_BFP,Pitching_GF,Pitching_R,inducted
fiskca01,0,1,0,10,24,1993,2499,8756,1276,2356,421,47,376,1330,128,58,849,105,143,26,204,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Y
fitzsfr01,0,0,0,NULL,19,1943,513,1155,112,231,35,7,14,103,0,0,36,0,13,58,15,217,513,29,13,9671,1257,870,83.12999987602234,33,3,13570,64,1505,N
flanami01,0,0,1,0,18,1992,529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,526,19,4,8310,1199,1491,77.31000018119812,41,12,11684,49,1301,N
fletcar01,0,0,0,NULL,13,1922,1533,5541,684,1534,238,77,32,675,159,28,203,0,141,154,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N
flickel01,0,0,0,NULL,13,1910,1483,5597,950,1752,268,164,48,756,330,0,597,0,99,121,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Y
flintsi01,0,0,0,NULL,13,1889,760,2913,380,687,129,34,21,295,12,0,54,0,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N
floodcu01,0,7,0,3,15,1971,1759,6357,851,1861,271,44,85,636,88,73,444,22,52,72,117,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N
floydcl01,0,0,0,1,17,2009,1621,5319,824,1479,340,23,233,865,148,43,601,87,91,4,85,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,N
fonsele01,0,0,0,NULL,12,1933,937,3404,518,1075,203,50,31,485,64,36,186,0,23,111,0,0,1,0,0,3,0,0,0,0,0,3,0,0,N
fordwh01,0,0,1,6,16,1967,500,1023,91,177,19,0,3,69,3,2,113,0,3,65,10,236,498,45,10,9511,967,1956,42.760000109672546,28,5,13036,35,1107,Y
